time,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-misses,branches,bus-cycles,cache-misses,cache-references,context-switches,cpu-clock,cycles,dTLB-load-misses,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,instructions,minor-faults,node-load-misses,node-loads,node-store-misses,node-stores,page-faults,ref-cycles,task-clock,label
1.000497018,91090460.0,1192879212.0,844521550.0,76971.0,6964.0,60648698.0,2392.0,16733706.0,7709168.0,7379738.0,605168532.0,99554917.0,10256.0,77334229.0,0.0,1000.3338449999999,2588432490.0,1313074.0,1973.0,852703887.0,1174.0,565.0,4028005515.0,0.0,2007.0,4946.0,320.0,1959.0,0.0,2588718809.0,1000.333647,2
2.000785585,91164728.0,1197651182.0,848643057.0,74411.0,4793.0,60527495.0,2140.0,16737122.0,6766426.0,6432754.0,609356202.0,99549725.0,7402.0,77013702.0,0.0,1000.285004,2588351843.0,1635806.0,2301.0,848131774.0,2782.0,525.0,4062232671.0,0.0,1988.0,2945.0,400.0,2001.0,0.0,2588612213.0,1000.281894,2
3.0010471919999997,91187614.0,1202412460.0,848240853.0,75306.0,4576.0,60490841.0,2434.0,16683453.0,7343993.0,7669318.0,604473078.0,99552243.0,6152.0,77399188.0,1.0,1000.238733,2588383963.0,1047054.0,1063.0,849910397.0,2013.0,1467.0,4018948064.0,0.0,2040.0,2197.0,306.0,1778.0,0.0,2588668257.0,1000.238657,2
4.001301427,91239694.0,1198718626.0,847321772.0,73626.0,4089.0,60540550.0,2315.0,16717391.0,7982676.0,8096933.0,604220772.0,99550301.0,6242.0,77127964.0,0.0,1000.237299,2588330672.0,1508457.0,1167.0,847947621.0,2320.0,583.0,4026602501.0,0.0,2157.0,1892.0,400.0,2038.0,0.0,2588613138.0,1000.237401,2
5.001562998,91215853.0,1200372669.0,849052097.0,72000.0,3347.0,60580402.0,2488.0,16726867.0,10247588.0,9857853.0,599815578.0,99548100.0,6982.0,77226129.0,0.0,1000.2492890000001,2588252668.0,1479800.0,1600.0,852136430.0,2094.0,567.0,3997651322.0,20.0,1957.0,1507.0,363.0,2051.0,20.0,2588575547.0,1000.2491640000001,2
6.001815924,91240933.0,1200376354.0,849996758.0,71143.0,3213.0,60691337.0,2226.0,16758914.0,8184330.0,8389303.0,602478911.0,99549277.0,5616.0,77405563.0,0.0,1000.231643,2588312676.0,1186402.0,1717.0,853528195.0,3351.0,738.0,4011865431.0,0.0,1903.0,1264.0,278.0,2098.0,0.0,2588596274.0,1000.2317539999999,2
7.002073995,91252835.0,1199379271.0,847232371.0,72726.0,3515.0,60483094.0,2315.0,16688274.0,8532362.0,8913166.0,601550389.0,99550345.0,5686.0,77392137.0,1.0,1000.236101,2588329646.0,1889494.0,2368.0,847475892.0,3813.0,1044.0,4007081725.0,0.0,2088.0,1269.0,363.0,2063.0,0.0,2588601911.0,1000.2360800000001,2
8.002327942,91220384.0,1198824584.0,847519071.0,75043.0,3176.0,60481252.0,2342.0,16697087.0,8733821.0,8309212.0,603867251.0,99547442.0,5557.0,77275466.0,0.0,1000.2387480000001,2588247122.0,2199608.0,2563.0,844722740.0,3563.0,667.0,4036239601.0,0.0,1988.0,1119.0,301.0,1957.0,0.0,2588558167.0,1000.2389730000001,2
9.002592875,91199355.0,1195634524.0,846714209.0,72007.0,3113.0,60437514.0,2336.0,16648359.0,7566244.0,7733258.0,605168326.0,99550392.0,5501.0,77086375.0,0.0,1000.2488890000001,2588345716.0,1979757.0,3348.0,846535829.0,4196.0,695.0,4030121644.0,0.0,2292.0,1139.0,346.0,2031.0,0.0,2588622179.0,1000.2486269999999,2
10.002856177,91243376.0,1200351040.0,847899904.0,72450.0,2959.0,60522266.0,2378.0,16692029.0,8347025.0,8404441.0,602974691.0,99544830.0,5316.0,77407662.0,0.0,1000.246132,2588194959.0,1181263.0,1488.0,850595099.0,4001.0,634.0,4017349420.0,0.0,1969.0,975.0,413.0,2051.0,0.0,2588505796.0,1000.2464369999999,2
